date,nav,positions,entries,regime
2025-06-02,100000.0,8,8,BULL_TREND
2025-06-03,103758.96,7,4,BULL_TREND
2025-06-04,108719.12,8,2,BULL_TREND
2025-06-05,86218.0,4,0,BULL_TREND
2025-06-06,82978.54,4,0,BULL_TREND
2025-06-09,80670.01,3,0,BULL_TREND
2025-06-10,80039.11,3,0,BULL_TREND
2025-06-11,75388.74,3,0,BULL_TREND
2025-06-12,72277.9,3,0,BULL_TREND
2025-06-13,66939.18,2,0,BULL_TREND
2025-06-16,55055.57,2,0,BULL_TREND
2025-06-17,74537.6,2,0,BULL_TREND
2025-06-18,62636.09,2,0,BULL_TREND
2025-06-19,57850.96,2,0,BULL_TREND
