date,nav,positions,entries,regime
2025-06-02,53298.69,2,0,SIDEWAYS
2025-06-03,51248.98,1,0,SIDEWAYS
2025-06-04,51219.65,1,0,SIDEWAYS
2025-06-05,51219.65,1,0,SIDEWAYS
2025-06-06,51219.65,1,0,SIDEWAYS
2025-06-09,51219.65,1,0,SIDEWAYS
2025-06-10,51219.65,1,0,SIDEWAYS
2025-06-11,51219.65,1,0,SIDEWAYS
2025-06-12,51219.65,1,0,SIDEWAYS
2025-06-13,51219.65,1,0,SIDEWAYS
2025-06-16,51219.65,1,0,SIDEWAYS
2025-06-17,51219.65,1,0,SIDEWAYS
2025-06-18,51219.65,1,0,SIDEWAYS
2025-06-19,51219.65,1,0,SIDEWAYS
2025-06-20,51219.65,1,0,SIDEWAYS
