date,nav,positions,entries,regime
2025-06-02,51219.65,1,0,BEAR_TREND
2025-06-03,51219.65,1,0,BEAR_TREND
2025-06-04,51219.65,1,0,BEAR_TREND
2025-06-05,51219.65,1,0,BEAR_TREND
2025-06-06,51219.65,1,0,BEAR_TREND
2025-06-09,51219.65,1,0,BEAR_TREND
2025-06-10,51219.65,1,0,BEAR_TREND
2025-06-11,51219.65,1,0,BEAR_TREND
2025-06-12,51219.65,1,0,BEAR_TREND
2025-06-13,51219.65,1,0,BEAR_TREND
2025-06-16,51219.65,1,0,BEAR_TREND
2025-06-17,51219.65,1,0,BEAR_TREND
2025-06-18,51219.65,1,0,BEAR_TREND
2025-06-19,51219.65,1,0,BEAR_TREND
2025-06-20,51219.65,1,0,BEAR_TREND
2025-06-23,51219.65,1,0,BEAR_TREND
2025-06-24,51219.65,1,0,BEAR_TREND
2025-06-25,51219.65,1,0,BEAR_TREND
2025-06-26,51219.65,1,0,BEAR_TREND
2025-06-27,51219.65,1,0,BEAR_TREND
2025-06-30,51219.65,1,0,BEAR_TREND
2025-07-01,51219.65,1,0,BEAR_TREND
2025-07-02,51219.65,1,0,BEAR_TREND
2025-07-03,51219.65,1,0,BEAR_TREND
2025-07-04,51219.65,1,0,BEAR_TREND
2025-07-07,51219.65,1,0,BEAR_TREND
2025-07-08,51219.65,1,0,BEAR_TREND
2025-07-09,51219.65,1,0,BEAR_TREND
2025-07-10,51219.65,1,0,BEAR_TREND
2025-07-11,51219.65,1,0,BEAR_TREND
2025-07-14,51219.65,1,0,BEAR_TREND
2025-07-15,51219.65,1,0,BEAR_TREND
2025-07-16,51219.65,1,0,BEAR_TREND
2025-07-17,51219.65,1,0,BEAR_TREND
2025-07-18,51219.65,1,0,BEAR_TREND
